File,Brands(%Of-File),Brands(%Of-Feature),Brands(#Propagations),HeaderMVC(%Of-File),HeaderMVC(%Of-Feature),HeaderMVC(#Propagations),HeaderSPA(%Of-File),HeaderSPA(%Of-Feature),HeaderSPA(#Propagations),Items(%Of-File),Items(%Of-Feature),Items(#Propagations),Login(%Of-File),Login(%Of-Feature),Login(#Propagations),Ordering(%Of-File),Ordering(%Of-Feature),Ordering(#Propagations),Payment(%Of-File),Payment(%Of-Feature),Payment(#Propagations),Pictures(%Of-File),Pictures(%Of-Feature),Pictures(#Propagations),Types(%Of-File),Types(%Of-Feature),Types(#Propagations)
src\ApiGateways\Web.Bff.Shopping\aggregator\Config\UrlsConfig.cs,3.789636504253674,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\ApiGateways\Mobile.Bff.Shopping\aggregator\Services\OrderingService.cs,100,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\ApiGateways\Web.Bff.Shopping\aggregator\Services\OrderingService.cs,100,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\Services\Ordering\Ordering.API\Grpc\OrderingService.cs,100,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\Web\WebSPA\Client\src\modules\shared\shared.module.ts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.177660510114336,2.941176470588235,3,0,0,0
src\Web\WebSPA\Client\src\modules\shared\services\security.service.ts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.19980483044645,1.9607843137254901,2,0,0,0
src\Web\WebSPA\Client\src\modules\shared\services\basket.wrapper.service.ts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.183391003460208,0.9803921568627451,1,0,0,0
src\Web\WebSPA\Client\src\modules\app.component.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.379310344827587,0.9803921568627451,1,0,0,0
src\Web\WebMVC\Views\Shared\_LoginPartial.cshtml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.9803921568627451,1,0,0,0
src\Web\WebSPA\Client\src\modules\shared\components\identity\identity.ts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.9803921568627451,1,0,0,0
